TID GID GT TTy ReqT TAr TT Res
444	 191	 1	 C	 191	 191	 1	 B	
445	 176	 1	 D	 176	 178	 14	 S	
446	 160	 5	 D	 160	 178	 15	 S	
447	 173	 3	 D	 173	 179	 15	 S	
448	 188	 5	 A	 188	 188	 6	 B	
449	 145	 4	 P	 145	 145	 50	 A	
450	 177	 1	 D	 177	 179	 16	 S	
451	 193	 1	 C	 193	 193	 2	 B	
452	 194	 1	 C	 194	 194	 2	 A	
453	 178	 1	 D	 178	 180	 16	 S	
454	 145	 4	 C	 145	 195	 1	 B	
455	 180	 1	 D	 180	 181	 16	 S	
456	 181	 1	 D	 181	 182	 16	 S	
457	 192	 3	 A	 192	 192	 6	 B	
458	 149	 2	 P	 149	 149	 50	 A	
459	 130	 2	 D	 130	 183	 16	 S	
460	 192	 3	 C	 192	 198	 1	 B	
461	 149	 2	 C	 149	 199	 1	 A	
462	 183	 1	 D	 183	 185	 15	 S	
463	 199	 1	 C	 199	 199	 1	 B	
464	 175	 5	 D	 175	 186	 15	 S	
465	 200	 1	 C	 200	 200	 1	 B	
466	 184	 1	 D	 184	 187	 15	 S	
467	 201	 1	 C	 201	 201	 1	 B	
468	 167	 2	 P	 167	 167	 36	 A	
469	 185	 1	 D	 185	 187	 16	 S	
470	 167	 2	 C	 167	 203	 1	 A	
471	 195	 3	 A	 195	 195	 9	 B	
472	 134	 2	 D	 134	 188	 16	 S	
473	 195	 3	 C	 195	 204	 1	 B	
474	 187	 1	 D	 187	 188	 17	 S	
475	 189	 1	 D	 189	 191	 15	 S	
476	 168	 2	 P	 168	 168	 39	 A	
477	 198	 3	 A	 198	 198	 9	 B	
478	 135	 2	 D	 135	 192	 15	 S	
479	 206	 1	 C	 206	 206	 2	 A	
480	 168	 2	 C	 168	 207	 1	 B	
481	 191	 1	 D	 191	 192	 16	 S	
482	 207	 1	 C	 207	 207	 2	 B	
483	 198	 3	 C	 198	 207	 2	 A	
484	 193	 1	 D	 193	 195	 14	 S	
485	 208	 1	 C	 208	 208	 2	 B	
486	 186	 5	 Q	 186	 186	 24	 S	
487	 186	 5	 C	 186	 210	 1	 B	
488	 188	 5	 Q	 188	 188	 23	 S	
489	 172	 4	 P	 172	 172	 40	 A	
490	 209	 4	 Q	 209	 209	 3	 S	
491	 188	 5	 C	 188	 211	 1	 B	
492	 172	 4	 C	 172	 212	 1	 A	
493	 194	 1	 D	 194	 196	 17	 S	
494	 212	 1	 C	 212	 212	 1	 B	
495	 145	 4	 D	 145	 196	 18	 S	
496	 213	 1	 C	 213	 213	 1	 B	
497	 192	 3	 D	 192	 199	 16	 S	
498	 174	 2	 P	 174	 174	 42	 A	
499	 202	 3	 A	 202	 202	 14	 B	
500	 149	 2	 D	 149	 200	 16	 S	
501	 215	 1	 C	 215	 215	 2	 A	
502	 174	 2	 C	 174	 216	 1	 B	
503	 199	 1	 D	 199	 200	 17	 S	
504	 200	 1	 D	 200	 201	 17	 S	
505	 202	 3	 C	 202	 216	 2	 A	
506	 217	 1	 C	 217	 217	 1	 B	
507	 210	 5	 Q	 210	 210	 9	 S	
508	 201	 1	 D	 201	 202	 18	 S	
509	 203	 3	 A	 203	 203	 17	 B	
510	 179	 4	 P	 179	 179	 42	 A	
511	 167	 2	 D	 167	 204	 17	 S	
512	 219	 1	 C	 219	 219	 2	 B	
513	 220	 1	 C	 220	 220	 2	 B	
514	 195	 3	 D	 195	 205	 17	 S	
515	 203	 3	 C	 203	 220	 2	 A	
516	 179	 4	 C	 179	 221	 2	 B	
517	 206	 1	 D	 206	 208	 15	 S	
518	 222	 1	 C	 222	 222	 1	 A	
519	 168	 2	 D	 168	 208	 16	 S	
520	 207	 1	 D	 207	 209	 16	 S	
521	 210	 5	 A	 210	 210	 15	 B	
522	 182	 4	 P	 182	 182	 44	 A	
523	 198	 3	 D	 198	 209	 17	 S	
524	 224	 1	 C	 224	 224	 2	 B	
525	 208	 1	 D	 208	 210	 17	 S	
526	 210	 5	 C	 210	 225	 2	 A	
527	 225	 1	 C	 225	 225	 2	 B	
528	 186	 5	 D	 186	 211	 17	 S	
529	 182	 4	 C	 182	 226	 2	 A	
530	 226	 1	 C	 226	 226	 2	 B	
531	 188	 5	 D	 188	 212	 17	 S	
532	 228	 1	 C	 228	 228	 1	 A	
533	 172	 4	 D	 172	 213	 17	 S	
534	 211	 5	 A	 211	 211	 19	 B	
535	 229	 1	 C	 229	 229	 1	 A	
536	 212	 1	 D	 212	 213	 18	 S	
537	 230	 1	 C	 230	 230	 1	 B	
538	 213	 1	 D	 213	 214	 18	 S	
539	 190	 2	 P	 190	 190	 43	 A	
540	 223	 3	 A	 223	 223	 10	 B	
541	 215	 1	 D	 215	 217	 16	 S	
542	 223	 3	 C	 223	 233	 1	 B	
543	 190	 2	 C	 190	 233	 1	 A	
544	 174	 2	 D	 174	 217	 17	 S	
545	 233	 1	 C	 233	 233	 2	 B	
546	 217	 1	 D	 217	 218	 17	 S	
